Box	DaysSinceMeta	FirstNight	MetaDate	MovesFirstWeek	MovtRate	Net_Dist	PhotoDate	Photo	Run_Assgnmt	Cohort	Total_Dist	TotalMoves	TotDistFirstWk	TotRecaps	Init_Mass	Density	Year	RecapsFirstWeek	NetDistFirstWk	Species	TagSize
28-C	8	29.12	05/26/2013	2	7.157142857	50.1	6/2/2013	2145	7	2.3	50.1	2	50.1	7	1.49	18	2013	7	50.1	AMAN	9
																				AMAN	
18	8	46.81	05/26/2013	4	12.04	46.81	6/2/2013	2159	3	2.3	84.28	4	84.28	7	2.69	6	2013	7	46.81	AMAN	12
28-C	8	12.71	05/26/2013	3	2.812857143	14.21	6/2/2013	2155	7	2.3	19.69	3	19.69	6	1.72	18	2013	6	14.21	AMAN	9
																				AMAN	
10-B	8	47	05/26/2013	3	13.06714286	47	6/2/2013	2200	5	2.3	91.47	3	91.47	7	2.78	6	2013	7	47	AMAN	12
32-I	8	NA	05/26/2013	1	5.154285714	36.08	6/2/2013	2209	1	2.3	36.08	1	36.08	2	0.58	36	2013	2	36.08	AMAN	8
12-A	8	50.1	05/26/2013	6	18.60142857	50.1	6/2/2013	2216	7	2.3	130.21	6	130.21	7	1.66	18	2013	7	50.1	AMAN	9
																				AMAN	
10-A	8	5.26	05/26/2013	4	8.951428571	38.73	6/2/2013	2221	3	2.3	62.66	4	62.66	7	2.46	6	2013	7	38.73	AMAN	12
41-A	8	24.41	05/26/2013	6	13.74857143	30.3	6/2/2013	2219	7	2.3	96.24	6	96.24	7	1.77	18	2013	7	30.3	AMAN	9
4	8	23.02	05/26/2013	3	5.682857143	39.32	6/2/2013	2228	1	2.3	39.78	3	39.78	4	0.98	36	2013	4	39.32	AMAN	8
4-A	10	49.7	05/24/2013	3	11.37857143	50.28	6/2/2013	2233	1	2.3	79.65	3	79.65	7	0.78	36	2013	7	50.28	AMAN	8
																				AMAN	
42-A	8	44.86	05/26/2013	3	9.194285714	44.86	6/2/2013	2242	3	2.3	64.36	3	64.36	7	2.60	6	2013	7	44.86	AMAN	12
12-E	8	6.5	05/26/2013	5	14.6	36.5	6/2/2013	2247	7	2.3	73	5	73	5	2.34	18	2013	5	36.5	AMAN	12
38	8	36.08	05/26/2013	2	6.37	36.08	6/2/2013	2245	1	2.3	44.59	2	44.59	5	1.69	6	2013	5	36.08	AMAN	9
16	8	.72	05/26/2013	2	3.79	26.13	6/2/2013	2257	1	2.3	26.53	2	26.53	7	1.13	36	2013	7	26.13	AMAN	9
19-C	8	33.090000000000003	05/26/2013	6	9.808571429	33.09	6/2/2013	2253	7	2.3	68.66	6	68.66	7	1.28	18	2013	7	33.09	AMAN	9
13	8	29.64	05/26/2013	3	6.254285714	29.64	6/2/2013	2304	1	2.3	43.78	3	43.78	5	0.88	36	2013	5	29.64	AMAN	8
28-B	8	50.1	05/26/2013	4	14.85714286	50.1	6/2/2013	2300	7	2.3	104	4	104	6	1.64	18	2013	6	50.1	AMAN	9
																				AMAN	
16	6	23.54	05/28/2013	3	10.16714286	47.73	6/2/2013	2317	1	2.3	71.17	3	71.17	7	1.19	36	2013	7	47.73	AMAN	8
10-C	8	.91	05/26/2013	2	0.965714286	6.06	6/2/2013	2310	5	2.3	6.76	2	6.76	6	2.04	6	2013	6	6.06	AMAN	12
4-A	10	35.15	05/24/2013	2	5.161428571	35.15	6/2/2013	2308	1	2.3	36.13	2	36.13	7	0.83	36	2013	7	35.15	AMAN	8
																				AMAN	
12A-A	10	25.63	05/24/2013	3	9.192857143	44.63	6/2/2013	2315	1	2.3	64.35	3	64.35	6	1.35	36	2013	6	44.63	AMAN	9
35	6	NA	05/28/2013				6/2/2013	2319	1	2.3					0.95	36	2013			AMAN	8
27-A	16	30.8	05/24/2013	4	7.518571429	48.48	6/8/2013	2012	11	2.4	52.63	4	52.63	6	2.54	6	2013	6	48.48	AMAN	12
28-B	16	45.75	05/24/2013	1	7.711666667	46.09	6/8/2013	2015	4	2.4	46.27	1	46.27	6	1.43	18	2013	6	46.09	AMAN	9
12-D	14	32.299999999999997	05/26/2013	2	6.018571429	32.7	6/8/2013	2023	8	2.4	42.13	2	42.13	7	1.91	18	2013	7	32.7	AMAN	12
47-B	14	20.56	05/26/2013	2	7.262857143	50	6/8/2013	2021	2	2.4	50.84	2	50.84	7	2.71	6	2013	7	50	AMAN	12
28-A	14	30.86	05/26/2013	4	6.481428571	30.86	6/8/2013	2032	8	2.4	45.37	4	45.37	7	1.66	18	2013	7	30.86	AMAN	9
																				AMAN	
41-A	16	23.25	05/24/2013	1	3.494285714	23.25	6/8/2013	2027	8	2.4	24.46	1	24.46	7	1.56	18	2013	7	23.25	AMAN	9
26-B	14	NA	05/26/2013	2	4.508571429	31.56	6/8/2013	2039	11	2.4	31.56	2	31.56	5	2.37	6	2013	5	31.56	AMAN	12
43-I	12	15.29	05/28/2013	5	3.307142857	20.37	6/8/2013	2037	8	2.4	23.15	5	23.15	7	1.32	18	2013	7	20.37	AMAN	9
25	14	26.47	05/26/2013	2	5.305	26.47	6/8/2013	2047	8	2.4	31.83	2	31.83	6	1.48	18	2013	6	26.47	AMAN	9
9-A	12	45.24	05/28/2013	2	8.118571429	45.24	6/8/2013	2045	8	2.4	56.83	2	56.83	7	1.72	18	2013	7	45.24	AMAN	12
43-H	12	30.5	05/28/2013	2	6.5	45.5	6/8/2013	2051	4	2.4	45.5	2	45.5	7	1.17	18	2013	7	45.5	AMAN	9
16-A	12	17.510000000000002	05/28/2013	2	4.981428571	17.51	6/8/2013	2104	6	2.4	34.87	2	34.87	6	1.11	36	2013	6	17.51	AMAN	9
43	14	45.83	05/26/2013	2	7.137142857	49.28	6/8/2013	2101	11	2.4	49.96	2	49.96	7	1.22	18	2013	7	49.28	AMAN	9
																				AMAN	
41-A	12	NA	05/28/2013	2	6.801428571	44.65	6/8/2013	2120	4	2.4	47.61	2	47.61	5	1.55	18	2013	5	44.65	AMAN	9
12-C	14	22.32	05/26/2013	4	6.777142857	32.12	6/8/2013	2118	11	2.4	47.44	4	47.44	7	2.01	18	2013	7	32.12	AMAN	12
7-D	12	44.89	05/28/2013	3	8.0675	45.62	6/8/2013	2126	4	2.4	64.54	4	64.54	7	1.74	18	2013	6	45.62	AMAN	9
12-C	12	NA	05/28/2013	2	3.632857143	46.36	6/8/2013	2124	4	2.4	50.86	3		10	1.33	18	2013	7		AMAN	9
17-B	16	.28000000000000003	05/24/2013	0	0.125714286	0.28	6/8/2013	2132	2	2.4	0.88	0	0.88	7	2.93	6	2013	7	0.28	AMAN	12
43-D	12	30.86	05/28/2013	3	5.462857143	33.85	6/8/2013	2136	8	2.4	38.24	3	38.24	7	1.27	18	2013	7	33.85	AMAN	9
28-A	12	26.47	05/28/2013	2	4.452857143	26.47	6/8/2013	2146	8	2.4	31.17	2	31.17	7	1.68	18	2013	7	26.47	AMAN	9
16-C	10	NA	05/30/2013	1	6.795	27.18	6/8/2013	2143	6	2.4	27.18	1	27.18	2	1.10	36	2013	2	27.18	AMAN	9
16-F	10	NA	05/30/2013	1	2.658	39.87	6/8/2013	2155	6	2.4	39.87	2		5	0.94	36	2013	2		AMAN	8
4-C	10	NA	05/30/2013				6/8/2013	2152	6	2.4					0.84	36	2013			AMAN	8
13	12	NA	05/28/2013				6/8/2013	2206	6	2.4					0.96	36	2013			AMAN	8
44-E	14	NA	05/26/2013	1	2.283333333	30.95	6/8/2013	2203	11	2.4	34.25	4		10	1.93	6	2013	5		AMAN	12
																				AMAN	
26-A	14	NA	05/26/2013	1	3.511428571	48.13	6/8/2013	2235	11	2.4	49.16	2		9	2.82	6	2013	3		AMAN	12
16-E	10	NA	05/30/2013	3	4.688	46.94	6/8/2013	2212	6	2.4	70.32	5		7	1.17	36	2013	3		AMAN	9
2	14	NA	05/26/2013	1	3.284666667	47.95	6/8/2013	2216	11	2.4	49.27	2		10	1.97	6	2013	4		AMAN	12
45-I	14	NA	05/26/2013	1	3.061333333	40.6	6/8/2013	2219	4	2.4	45.92	5		10	2.81	18	2013	3		AMAN	12
23-I	14	NA	05/26/2013	2	2.946	42.43	6/8/2013	2228	4	2.4	44.19	3		10	1.10	18	2013	5		AMAN	9
13-C	12	NA	05/28/2013				6/8/2013	2225	6	2.4					0.99	36	2013			AMAN	8
44-A	14	47.57	05/26/2013	1	7.928333333	47.57	6/8/2013	2248	11	2.4	47.57	1	47.57	5	3.37	6	2013	5	47.57	AMAN	12
39-B	14	NA	05/26/2013	1	5.698666667	48.25	6/8/2013	2252	11	2.4	85.48	3		10	1.97	6	2013	4		AMAN	12
																				AMAN	
16-B	12	24.01	05/28/2013	1	4.802	24.01	6/8/2013	2316	6	2.4	24.01	1	24.01	4	1.05	36	2013	4	24.01	AMAN	9
22-C	14	47.96	05/26/2013	1	8.07	48.19	6/8/2013	2258	11	2.4	48.42	1	48.42	6	2.70	6	2013	6	48.19	AMAN	12
44-B	14	NA	05/26/2013	1	4.260714286	42.59	6/8/2013	2301	2	2.4	59.65	5		13	1.59	6	2013	6		AMAN	9
																				AMAN	
44-C	14	NA	05/26/2013				6/8/2013	2307	11	2.4					1.59	6	2013			AMAN	9
																				AMAN	
37	14	NA	05/26/2013	1	3.362142857	44.73	6/8/2013	2310	2	2.4	47.07	3		12	2.53	6	2013	5		AMAN	12
10	14	NA	05/26/2013				6/8/2013	2340	2	2.4					2.03	6	2013			AMAN	12
11	14	NA	05/26/2013	0	0.088666667	0.53	6/8/2013	2342	2	2.4	1.33	0		14	1.85	6	2013	7		AMAN	12
29	14	18.100000000000001	05/26/2013	4	4.024285714	18.8	6/8/2013	2338	2	2.4	28.17	4	28.17	7	1.77	6	2013	7	18.8	AMAN	12
																				AMAN	
10	14	25.44	05/26/2013	2	4.718333333	28.31	6/8/2013	2344	2	2.4	28.31	2	28.31	6	2.46	6	2013	6	28.31	AMAN	12
50-A	14	48.48	05/26/2013	1	6.925714286	48.48	6/8/2013	2118	11	2.4	48.48	1	48.48	4	2.44	6	2013	4	48.48	AMAN	12
13-B	12	NA	05/28/2013				6/8/2013	2205	6	2.4					0.96	36	2013			AMAN	0
4-A	12	NA	05/28/2013				6/8/2013	2136	6	2.4					1.03	36	2013			AMAN	0
																				AMAN	
28-A	14	46.92	05/26/2013	2	6.988571429	48.1	6/2/2013	2024	4	2.4	48.92	2	48.92	7	2.35	18	2013	7	48.1	AMAN	9
																				AMAN	
28-B	14	NA	05/26/2013				6/8/2013	2147	4	2.4					1.92	18	2013			AMAN	0
																				AMAN	
42-D	14	NA	05/26/2013	2	4.021428571	28.56	6/2/2013	2105	2	2.4	56.3	6		13	2.65	6	2013	6		AMAN	9
20A	14	NA	05/26/2013				6/8/2013	2236		2.4					1.79	6	2013			AMAN	0
19-A	5	24.25	05/26/2013	1	24.25	24.25	5/29/2013	2200	3	2.2	24.25	1	24.25	1	1.37	18	2013	1	24.25	AMAN	9
16-F	12	17.510000000000002	05/28/2013	1	3.502	17.51	6/8/2013	2245	6	2.4	17.51	1	17.51	4	1.18	36	2013	4	17.51	AMAN	9
30-B	7	NA	05/24/2013	4	8.278571429	35.39	5/29/2013	2131	8	2.2	57.95	4	57.95	6	2.74	6	2013	6	35.39	AMAN	12
	5	NA	05/26/2013				5/29/2013			2.2							2013				
