Date	Julian Date	Trial	Camera	Arena	Meta_Date	Meta_Julian	Box	Tank	UID
6/30/2013	181	1	6	TL	6/29/2013	180	100-C	100	100-C_2013_6_29
6/30/2013	181	1	7	TL	6/27/2013	178	103	103	103_2013_6_27
6/30/2013	181	1	8	TL	6/27/2013	178	49	49	49_2013_6_27
6/30/2013	181	1	9	TL	6/27/2013	178	13-A	13	13-A_2013_6_27
7/8/2013	188	1	2	TL	7/5/2013	186	12A	12A	12A_2013_7_5
7/8/2013	188	1	3	TL	7/5/2013	186	103	103	103_2013_7_5
7/8/2013	188	1	5	TL	7/3/2013	184	10A-B	10A	10A-B_2013_7_3
7/8/2013	188	1	6	TL	7/3/2013	184	10A-A	10A	10A-A_2013_7_3
7/8/2013	188	1	7	BR	7/3/2013	184	108-B	108	108-B_2013_7_3
7/8/2013	188	1	8	TL	7/7/2013	188	108	108	108_2013_7_7
7/8/2013	188	1	9	TL	7/3/2013	186	2A	2A	2A_2013_7_3
7/10/2013	190	1	2	TL	7/9/2013	190	100	100	100_2013_7_9
7/10/2013	190	1	3	TL	7/9/2013	190	108-B	108	108-B_2013_7_9
6/2/2013	153	1	1	TR	5/26/2013	146	19A	19A	19A_2013_5_26
6/2/2013	153	1	2	TR	5/26/2013	146	6A-C	6A	6A-C_2013_5_26
6/2/2013	153	1	3	TR	5/26/2013	146	8A-A	8A	8A-A_2013_5_26
6/2/2013	153	1	4	TR	5/26/2013	146	3A-C	3A	3A-C_2013_5_26
6/2/2013	153	1	5	TR	5/21/2013	141	8A-A	8A	8A-A_2013_5_21
6/2/2013	153	1	6	TR	5/24/2013	144	3A-A	3A	3A-A_2013_5_24
6/2/2013	153	1	7	TR	5/26/2013	146	1A	1A	1A_2013_5_26
6/2/2013	153	1	8	TR	5/26/2013	146	13A-D	13A	13A-D_2013_5_26
6/2/2013	153	1	9	TR	5/24/2013	144	23-A	23	23-A_2013_5_24
6/2/2013	153	2	1	TR	5/26/2013	146	5A-A	5A	5A-A_2013_5_26
6/2/2013	153	2	2	TR	5/28/2013	148	3A	3A	3A_2013_5_28
6/2/2013	153	2	3	TR	5/28/2013	148	3A-A	3A	3A-A_2013_5_28
6/2/2013	153	2	4	TR	5/28/2013	148	6A-B	6A	6A-B_2013_5_28
6/2/2013	153	2	5	TR	5/28/2013	148	10A	10A	10A_2013_5_28
6/2/2013	153	2	6	TR	5/26/2013	146	23	23	23_2013_5_26
