ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
32A,6/9/2013,6/29/2013,21:40,3.151198185,3.737934323,2.92712094,3.965163427,2.114926003,4.178729113,1.733166178,3.993286867,9.890126036,6.343845916,18.15014207,5.475065296,19.93340162,2.683135852,1
32A,6/11/2013,6/29/2013,22:23,2.901725866,3.870843965,3.664836286,3.848018971,1.643071818,4.051267579,2.397250508,4.977337139,10.34665632,6.629310221,18.59982454,5.908671594,23.74940768,3.110559596,1
32A,6/15/13 (2),6/30/2013,10:01,3.34806586,4.173925011,2.685886074,4.059308315,2.336780691,4.465677216,2.041020578,4.864563495,11.03702791,6.938623855,19.51096071,6.24139736,24.10185389,3.241517083,1
32A,6/15/2013,6/30/2013,09:24,2.810568092,4.067975664,3.001768312,4.13867805,1.746878931,4.469707932,2.281050854,4.561433547,10.48330501,6.906650853,19.48171106,6.014786862,26.20495612,3.815,1
32A,6/19/2013,6/29/2013,23:35,3.12,3.958878755,2.865229659,4.083659633,2.109590482,4.797964256,1.857734104,4.756064024,9.788348226,6.924111856,20.20098859,6.964,25.47654076,3.931235175,1
32B,6/9/2013,6/29/2013,22:17,3.484853655,3.981357181,3.427013277,4.13141719,2.424848449,4.195394737,1.961491779,4.466409744,9.848109869,6.620998792,19.26852324,5.732449738,23.08680706,2.96327184,1
32B,6/11/2013,6/29/2013,22:25,3.487146828,3.898987048,2.89124973,3.841846431,2.057948736,4.12212421,1.98643827,3.921701671,10.41135198,6.587792498,18.02546743,5.741202139,22.51586396,3.012169982,1
32B,6/13/2013,6/30/2013,09:11,2.965221914,3.769411625,2.589521384,3.831095144,2.074446914,3.822237303,1.932283882,3.944349122,10.4024488,6.507031965,17.91307188,5.969112581,20.5516466,3.288092456,1
32B,6/19/2013,6/30/2013,00:15,2.97929824,3.818604064,2.78884295,3.922665548,1.925411644,4.828756569,1.979436536,4.572174319,10.10903185,6.259481848,18.8849624,5.79752473,23.14991857,3.565919937,1
32C,6/11/2013,6/29/2013,22:35,3.24924622,3.890568339,3.486997132,3.48930079,1.804861491,4.627452215,1.998561983,4.434805294,10.53656324,6.703311495,18.38068511,6.267034466,24.94608011,3.72020443,1
32C,6/19/2013,6/29/2013,23:28,3.244249682,4.071846019,3.428445858,4.184856748,2.721551947,4.581118859,2.065825743,4.435176208,10.47232663,6.385326303,20.43943062,5.673144542,25.38655402,3.3853248,1
32D,6/11/2013,6/29/2013,22:31,3.420898274,4.086124937,3.493548339,4.181059435,2.222692061,4.412708125,2.28539909,4.392423591,10.06861982,6.478246676,18.50520754,5.369386185,24.88083039,2.684693092,1
34C,6/5/2013,6/29/2013,20:18,4.109964477,4.694066574,3.832269563,4.772569329,2.802,4.973266934,2.617868217,5.469876141,11.71689878,7.252066809,21.66071672,8.057,28.91563082,3.949518578,1
34D,6/5/2013,6/29/2013,20:17,3.121585014,4.672097602,3.697699961,4.608849097,1.882401923,5.163909856,2.274258121,4.977455173,11.45944471,7.587920466,23.45471113,9.091894247,34.53596688,4.808087458,1
35,6/11/2013,6/29/2013,22:33,3.511864604,4.081694869,4.021626164,4.081167725,2.087546167,4.535940586,2.337204527,4.361539292,10.7539874,6.776222915,19.6070408,5.573205989,25.98994563,4.079784431,1
35A,6/9/2013,6/29/2013,21:41,3.247226817,3.832632124,3.380211236,4.049417859,2.160979408,3.948143868,1.852449459,4.337419164,11.25399209,7.177349093,21.06875034,6.761307566,25.80520432,3.927088744,1
35A,6/13/2013,6/30/2013,09:15,2.878252942,3.787884502,2.996160209,4.037600897,1.696686477,4.508427664,2.257010855,4.26062026,10.40541878,6.671234069,17.72851472,6.132623011,24.68581935,3.588,1
35A,6/15/2013,6/30/2013,08:42,3.180693163,4.426645231,3.46027629,4.370446316,2.116474899,4.269519879,2.439346019,4.768485084,10.73986708,6.81249,20.13608621,6.855802287,23.60588005,3.485218214,1
35A,6/19/2013,6/29/2013,23:33,3.212761118,4.655254343,2.734308871,3.983632764,2.698255918,4.892189898,2.194539587,4.671074073,10.26722251,7.225108234,20.34633719,6.506001921,26.73059597,4.125628316,1
35A,6/21/2013,6/30/2013,08:23,3.205480619,4.257109935,3.807397668,4.083140458,2.293,4.232518163,2.426956942,5.35565953,11.05719793,6.934193897,19.40126359,6.244540175,26.6729137,3.909115117,1
35B,6/19/2013,6/29/2013,23:29,3.265583562,4.11913219,3.758571138,4.253404519,2.059,4.918861047,2.477147149,5.051420592,10.57809156,7.25761538,19.99934571,6.521148672,25.054175,3.789021114,1
35B,6/21/2013,6/30/2013,08:34,3.573520673,4.340206677,3.094224943,4.387108501,2.587663232,4.497496192,2.003132048,4.63373985,10.72918459,6.755042635,21.02970723,7.20677466,26.35406619,3.727296339,1
35C,6/21/2013,6/30/2013,10:04,3.555114907,4.441806502,3.840439688,4.496831885,2.158110748,4.991963542,2.805867067,5.481662613,10.52053102,6.904535611,21.94953277,7.899808226,29.02457087,3.922920978,1
38,6/11/2013,6/29/2013,22:27,3.479408714,4.926034612,3.87728178,4.482722053,2.265791694,5.740776951,2.456614947,5.657718445,11.26455299,7.224782073,21.98596882,7.35944733,30.79982794,3.875140514,1
38A,6/9/2013,6/29/2013,20:47,3.387011957,4.447464896,3.97664444,4.243059392,1.730792304,4.602911361,2.920904826,4.019032844,11.50213358,7.118047485,20.99003773,7.607963197,33.52954764,4.322097292,1
38A,6/15/2013,6/30/2013,01:03,3.786301229,4.96003881,3.88501287,4.693620458,2.452364165,5.628183099,2.874749554,5.993361828,11.82835851,7.374093707,23.08522534,7.27171541,32.55616839,4.195688382,1
38B,6/9/2013,6/29/2013,21:05,3.515974118,4.677946237,3.562939517,4.140298781,2.365696515,4.568362179,2.200676487,4.675398272,10.88599366,7.027764652,20.8812929,6.810035609,27.89362458,3.852056204,1
