ID,Date,Pic Date,Pic Time,Arm          Left Upper,Arm          Left Lower,Arm          Right Upper,Arm          Right Lower,Leg             Left Upper,Leg             Left Lower,Leg             Right Upper,Leg             Right Lower,Head               Length,Head Width,Trunk Length,Trunk Width,Tail Length,Tail Width,Pic.Num
2A-B,6/9/2013,6/29/2013,13:40,4.222,3.31,3.88,3.41,2.677,4.161,2.673,3.715,9.946,7.015,18.616,6.655,21.917,3.411,1
2A-C,6/5/2013,6/29/2013,14:46,3.754,3.424,3.729,3.48,3.247,3.789,2.698,4.371,10.557,6.843,19.478,8.173,27.459,3.512,1
2A-D,6/5/2013,6/29/2013,14:58,4.005,3.767,4.088,3.575,2.737,2.458,2.845,2.618,10.958,7.093,18.762,7.074,29.083,3.642,1
2A-E,6/5/2013,6/29/2013,14:00,3.764,3.335,3.764,3.204,3.077,3.677,2.833,3.616,10.194,6.689,18.447,6.816,28.87,3.278,1
2A-E,6/9/2013,6/29/2013,19:14,4.233,3.207,4.121,3.26,2.799,3.127,2.577,3.782,10.436,7.09,18.056,6.569,27.793,3.167,1
2A-F,6/5/2013,6/29/2013,14:53,3.782,3.457,3.835,3.505,2.574,3.234,2.789,3.083,10.081,6.803,17.999,6.457,29.494,3.052,1
2A-F,6/9/2013,6/29/2013,12:51,4.334,5.183,4.279,3.559,2.741,4.241,2.848,3.77,10.41,6.931,18.695,5.412,25.799,3.01,1
2A-H,6/9/2013,6/29/2013,12:05,3.662,3.704,3.76,3.098,2.548,3.404,2.588,3.313,10.311,6.569,19.11,6.412,26.172,3.591,1
3A-A,5/24/2013,6/29/2013,09:08,4.442,4.619,4.496,4.736,,,,,12.17,7.44,18.816,6.892,30.975,2.686,1
3A-A,5/26/2013,6/29/2013,09:11,4.088,4.421,3.992,4.041,3.094,4.782,2.801,4.541,12.243,6.951,21.367,6.825,30.266,2.884,1
3A-B,5/26/2013,6/29/2013,10:35,4.439,4.417,4.439,4.583,3.213,4.539,2.956,4.616,12.49,7.586,20.449,7.819,32.091,3.079,1
3A-B,5/28/2013,6/29/2013,13:16,4.334,4.145,4.525,3.9,2.897,4.041,2.435,4.24,10.711,7.471,20.229,7.296,29.702,3.565,1
3A-C,5/26/2013,6/29/2013,10:35,4.335,4.761,4.299,4.801,3.346,3.899,3.327,3.786,11.422,7.378,21.197,7.546,30.465,2.954,1
3A-D,5/26/2013,6/29/2013,10:13,3.594,4.253,3.776,4.104,2.996,2.737,2.482,2.658,11.282,7.218,20.031,7.971,30.225,3.541,1
3A-G,5/26/2013,6/29/2013,10:06,4.757,4.397,4.227,4.611,3.226,3.405,3.318,3.306,12.224,7.701,19.518,7.437,30.085,3.357,1
4,6/7/2013,6/29/2013,14:42,3.848,3.185,3.703,3.236,2.357,3.533,2.404,2.964,9.997,6.694,16.425,6.091,23.52,2.821,1
4A,6/5/2013,6/29/2013,15:55,4.635,3.989,4.4,4.053,2.501,3.049,2.486,3.929,12.448,7.813,21.386,8.972,36.24,4.418,1
4A-A,5/26/2013,6/29/2013,11:22,3.816,4.448,4.071,4.338,2.734,3.554,2.797,4.329,11.849,7.021,21.036,7.429,34.355,3.161,1
4A-B,5/26/2013,6/29/2013,12:12,4.815,3.931,4.626,3.932,2.973,4.38,2.855,4.59,11..874,7.476,21.033,7.22,31.626,3.915,1
4A-C,5/26/2013,6/29/2013,12:07,4.376,3.992,4.227,3.893,2.876,3.755,2.692,3.694,11.52,7.399,19.984,6.537,31.566,3.713,1
4-B,5/28/2013,6/29/2013,13:11,3.773,3.398,3.942,3.396,2.07,2.579,2.195,3.066,10.217,6.877,16.841,6.799,23.713,3.382,1
4-C,5/28/2013,6/29/2013,13:09,3.347,3.071,3.887,2.931,1.79,3.137,1.945,2.951,10.251,6.447,14.86,5.923,22.542,3.022,1
5A,5/22/2013,6/29/2013,09:26,4.441,3.919,4.176,3.851,2.968,4.357,3.103,4.443,11.837,7.168,23.972,7.597,33.825,3.383,1
5A,5/26/2013,6/29/2013,10:15,4.315,4.02,4.178,4.534,2.954,4.514,2.557,4.613,11.956,7.112,22.146,7.477,32.998,2.929,1
5A-A,5/24/2013,6/29/2013,09:20,3.957,3.913,3.698,4.229,2.295,2.606,2.21,2.46,11.091,6.806,21.93,8.07,35.238,3.445,1
5A-B,5/24/2013,6/29/2013,09:13,3.943,3.706,4.113,4.191,2.758,3.978,2.804,4.2,12.026,7.28,23.093,7.236,31.883,3.632,1
5A-B,5/26/2013,6/29/2013,11:08,4.081,4.251,4.302,4.477,2.687,4.743,2.687,4.623,11.727,7.657,21.96,7.833,36.266,3.714,1
5A-C,5/26/2013,6/29/2013,10:57,4.44,3.832,4.189,4.353,3.285,3.809,3.468,3.82,11.989,7.554,21.682,7.921,34.236,3.269,1
6-A,6/7/2013,6/29/2013,15:23,4.202,3.681,3.176,2.967,2.343,3.908,2.597,3.872,10.456,7.056,19.065,6.42,22.376,3.517,1
6A-B,5/28/2013,6/29/2013,13:18,4.193,3.731,4.489,4.361,3.053,5.5,3.179,4.855,11.526,7.296,23.055,7.557,32.501,4.489,1
6A-A,5/24/2013,6/29/2013,09:23,4.699,4.636,4.736,4.776,2.819,5.065,3.201,5.528,12.779,7.858,25.281,8.933,39.823,4.197,1
6A-A,5/26/2013,6/29/2013,10:11,4.299,4.221,4.502,4.153,3.193,5.011,3.073,5.169,12.805,7.518,22.403,8.038,35.041,3.762,1
6A-B,5/26/2013,6/29/2013,10:11,4.188,4.654,4.213,4.753,2.621,3.077,3.193,3.006,13.173,8.052,24.178,8.053,40.326,4.027,1
6A-C,5/26/2013,6/29/2013,10:03,4.49,4.674,4.913,4.75,3.101,3.274,2.796,2.892,12.432,7.684,23.599,9.015,39.262,4.709,1
6-B,6/7/2013,6/29/2013,14:34,3.959,2.987,3.797,2.96,2.486,3.9,2.466,3.817,9.862,6.825,17.731,6.696,26.336,3.174,1
7,6/7/2013,6/29/2013,16:03,4.301,4.116,4.313,4.177,3.256,4.553,3.007,4.513,11.719,8.023,20.748,10.881,29.216,4.255,1
7A-A,5/26/2013,6/29/2013,10:33,4.567,3.871,4.175,3.739,3.362,4.262,3.292,4.164,11.858,7.578,23.352,7.498,37.546,3.856,1
7A-B,5/26/2013,6/29/2013,09:49,4.593,4.073,4.413,4.042,3.625,4.118,3.389,4.057,12.837,7.398,23.16,8.444,34.556,3.763,1
8,5/26/2013,6/29/2013,12:14,5.023,4.636,4.615,4.897,3.115,5.58,3.429,5.244,12.641,7.905,25.557,9.312,40.771,5.351,1
8-A,5/28/2013,6/29/2013,12:59,5.273,4.417,5.267,4.417,3.769,4.9,3.314,5.103,13.558,9.25,28.273,11.996,43.746,4.884,1
8A,6/5/2013,6/29/2013,15:56,4.666,4.008,4.591,3.759,2.981,4.615,3.028,4.559,12.023,7.655,25.88,8.388,37.589,4.355,1
8A-A,5/21/2013,6/29/2013,09:49,4.82,4.271,4.601,4.1,3.24,3.68,3.011,3.67,11.717,7.62,22.291,7.437,34.919,3.708,1
8A-A,5/24/2013,6/29/2013,09:18,4.852,4.391,4.852,4.992,3.049,4.377,3.003,4.503,11.891,7.669,23.74,7.44,35.704,3.793,1
8A-A,5/26/2013,6/29/2013,09:18,4.51,3.801,4.143,3.769,3.099,4.024,2.518,4.021,12.864,7.526,23.043,8.087,36.888,3.719,1
8A-B,5/28/2013,6/29/2013,13:01,5.006,3.977,4.847,3.831,2.894,4.303,2.996,3.675,11.957,7.473,22.39,7.478,36.992,4.381,1
8A-C,5/26/2013,6/29/2013,11:16,4.693,3.647,4.533,3.548,2.802,4.713,2.848,4.315,11.787,7.143,21.413,6.58,30.336,3.49,1
8A-C,5/28/2013,6/29/2013,13:03,4.414,3.885,4.899,3.833,2.63,2.679,2.908,2.795,12.154,7.817,21.174,7.772,35.201,4.237,1
8A-D,5/26/2013,6/29/2013,10:17,4.283,3.773,4.358,3.982,2.703,4.014,2.827,4.246,11.374,6.576,21.463,7.311,31.459,3.603,1
8A-E,5/26/2013,6/29/2013,11:11,4.203,3.914,4.099,4.398,3.223,3.569,3.104,4.125,11.579,7.484,20.96,6.96,33.566,3.432,1
8A-F,5/26/2013,6/29/2013,11:18,5.444,4.34,4.794,4.041,2.867,4.788,3.15,4.132,11.664,7.223,23.741,8.259,34.178,4,1
9A,6/7/2013,6/29/2013,15:54,3.557,2.844,3.202,2.711,2.284,2.914,2.514,2.693,8.79,6.066,14.692,4.978,19.734,2.47,1
